repository_name,owner,stars,forks,watchers,open_issues,closed_issues,contributors_count,default_branch,license,primary_language,topics,created_at,updated_at,pushed_at,latest_release_date,latest_release_tag,repo_age_days,days_since_last_commit,days_since_release,has_tests,has_docs,has_ci,has_dockerfile,has_type_hints,has_examples,has_benchmarks,iq_score,maintainability_risk,technical_debt_score,architecture_quality
fastapi,tiangolo,99560,9470,99560,97,,100,master,MIT,Python,"python,json,swagger-ui,redoc,starlette,openapi,api,openapi3,framework,async,asyncio,uvicorn,python3,python-types,pydantic,json-schema,fastapi,swagger,rest,web",2018-12-08T08:21:47Z,2026-06-23T10:38:18Z,2026-06-21T19:39:50Z,2026-06-20T01:17:47Z,0.138.0,2754,1,3.0,True,True,True,False,False,False,False,76.39,2.85,21.74,62.34
django,django,87948,33856,87948,454,,100,main,BSD-3-Clause,Python,"python,django,web,framework,orm,templates,models,views,apps",2012-04-28T02:47:18Z,2026-06-23T08:38:29Z,2026-06-22T19:01:45Z,,,5169,0,20.0,True,True,True,False,False,False,False,76.64,3.23,20.42,60.96
flask,pallets,71703,16873,71703,4,,100,main,BSD-3-Clause,Python,"python,flask,wsgi,web-framework,werkzeug,jinja,pallets",2010-04-06T11:11:59Z,2026-06-23T09:19:11Z,2026-06-10T18:03:29Z,2026-02-19T05:01:30Z,3.1.3,5922,12,124.0,True,True,True,False,False,True,False,60.32,50.0,40.0,52.5
requests,psf,54059,9981,54059,229,,100,main,Apache-2.0,Python,"python,http,forhumans,requests,python-requests,client,humans,cookies",2011-02-13T18:38:17Z,2026-06-23T08:44:17Z,2026-06-22T16:54:41Z,2026-05-14T19:27:15Z,v2.34.2,5608,0,39.0,True,True,True,False,False,False,False,73.18,6.29,20.35,59.41
langchain,langchain-ai,139963,23207,139963,405,,100,master,MIT,Python,"ai,anthropic,gemini,langchain,llm,openai,python,agents,ai-agents,chatgpt,enterprise,framework,generative-ai,multiagent,open-source,pydantic,rag,deepagents,langgraph,typescript",2022-10-17T02:58:36Z,2026-06-23T10:46:51Z,2026-06-23T04:34:02Z,2026-06-18T19:39:42Z,langchain-core==1.4.8,1345,0,4.0,False,True,True,False,False,False,False,65.02,20.57,45.23,62.26
transformers,huggingface,161833,33575,161833,2442,,100,main,Apache-2.0,Python,"nlp,natural-language-processing,pytorch,pytorch-transformers,transformer,model-hub,pretrained-models,speech-recognition,hacktoberfest,python,machine-learning,deep-learning,audio,deepseek,gemma,glm,llm,qwen,vlm",2018-10-29T13:56:00Z,2026-06-23T11:09:59Z,2026-06-23T11:16:28Z,2026-06-15T17:29:59Z,v5.12.1,2793,0,7.0,True,True,True,True,False,True,True,80.72,1.39,21.24,72.01
pytorch,pytorch,100974,28098,100974,18319,,100,main,NOASSERTION,Python,"neural-network,autograd,gpu,numpy,deep-learning,tensor,python,machine-learning",2016-08-13T05:26:41Z,2026-06-23T11:25:20Z,2026-06-23T10:57:00Z,2026-06-18T00:41:17Z,v2.12.1,3601,0,5.0,True,True,True,True,True,False,True,82.76,5.65,15.0,87.17
tensorflow,tensorflow,195845,75184,195845,3564,,100,master,Apache-2.0,C++,"tensorflow,machine-learning,python,deep-learning,deep-neural-networks,neural-network,ml,distributed",2015-11-07T01:19:20Z,2026-06-23T11:09:42Z,2026-06-23T11:19:49Z,2026-03-06T19:48:15Z,v2.21.0,3881,0,108.0,True,True,True,True,True,False,False,92.0,17.9,1.5,78.8
numpy,numpy,32240,12471,32240,2393,,100,main,NOASSERTION,Python,"numpy,python",2010-09-13T23:02:39Z,2026-06-23T10:44:56Z,2026-06-23T08:01:05Z,2026-06-21T21:28:03Z,v2.5.0,5761,0,1.0,False,True,True,False,True,False,True,62.56,22.04,31.13,77.5
pandas,pandas-dev,49040,20029,49040,3207,,100,main,BSD-3-Clause,Python,"data-analysis,pandas,flexible,alignment,python,data-science",2010-08-24T01:37:33Z,2026-06-23T09:18:55Z,2026-06-22T23:30:54Z,2026-05-11T18:23:29Z,v3.0.3,5782,0,42.0,False,True,True,False,True,False,False,65.8,28.47,30.4,74.17
scikit-learn,scikit-learn,66401,27091,66401,2095,,100,main,BSD-3-Clause,Python,"machine-learning,python,statistics,data-science,data-analysis",2010-08-17T09:43:38Z,2026-06-23T11:21:05Z,2026-06-23T10:28:52Z,2026-06-02T13:10:06Z,1.9.0,5789,0,20.0,False,True,True,False,True,True,True,68.9,23.96,27.6,75.96
airflow,apache,45902,17279,45902,1702,,100,main,Apache-2.0,Python,"airflow,apache,apache-airflow,python,scheduler,workflow,automation,dag,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,elt,etl,machine-learning,mlops,orchestration,workflow-engine,workflow-orchestration",2015-04-13T18:04:58Z,2026-06-23T11:50:25Z,2026-06-23T10:36:56Z,2026-06-13T23:37:21Z,helm-chart/1.22.0,4088,0,9.0,True,True,True,True,True,False,True,81.11,2.32,3.06,86.85
prefect,PrefectHQ,22670,2348,22670,815,,100,main,Apache-2.0,Python,"python,workflow,data-engineering,data-science,workflow-engine,prefect,infrastructure,ml-ops,data-ops,automation,orchestration,data,observability,pipeline",2018-06-29T21:59:26Z,2026-06-23T09:10:46Z,2026-06-23T09:15:05Z,2026-06-18T21:29:08Z,3.7.5,2915,0,4.0,True,True,True,True,False,True,False,66.09,1.48,22.97,72.26
ray,ray-project,42982,7717,42982,3485,,100,master,Apache-2.0,Python,"ray,distributed,parallel,machine-learning,reinforcement-learning,deep-learning,python,rllib,hyperparameter-search,optimization,data-science,hyperparameter-optimization,serving,deployment,pytorch,tensorflow,llm-serving,large-language-models,llm,llm-inference",2016-10-25T19:38:30Z,2026-06-23T11:39:42Z,2026-06-23T07:19:35Z,2026-04-22T20:24:41Z,ray-2.55.1,3527,0,61.0,True,True,True,True,True,False,False,79.42,11.99,6.7,82.62
pydantic,pydantic,28090,2719,28090,568,,100,main,MIT,Python,"validation,parsing,json-schema,pydantic,python39,python,hints,python310,python311,python312,python313",2017-05-03T21:23:58Z,2026-06-23T09:16:19Z,2026-06-22T07:25:52Z,2026-05-06T13:44:39Z,v2.13.4,3337,1,47.0,True,True,True,False,True,False,False,76.81,10.54,3.33,73.76
typer,fastapi,19635,920,19635,50,,100,master,MIT,Python,"cli,click,python3,typehints,terminal,shell,python,typer",2019-12-24T12:24:11Z,2026-06-23T11:24:25Z,2026-06-21T19:45:50Z,2026-06-03T07:17:53Z,0.26.7,2372,1,20.0,True,True,True,True,False,False,False,64.74,5.66,21.87,70.96
rich,Textualize,56675,2197,56675,355,,100,main,MIT,Python,"python,python3,python-library,terminal,terminal-color,markdown,tables,syntax-highlighting,ansi-colors,progress-bar-python,progress-bar,traceback,rich,tracebacks-rich,emoji,tui",2019-11-10T15:28:09Z,2026-06-23T11:18:57Z,2026-06-23T03:10:19Z,2026-04-12T08:27:58Z,v15.0.0,2416,0,72.0,True,True,True,False,False,True,True,73.46,11.72,20.51,56.73
sqlalchemy,sqlalchemy,11942,1700,11942,211,,100,main,MIT,Python,"sqlalchemy,sql,python",2018-11-27T03:35:03Z,2026-06-23T07:57:48Z,2026-06-22T23:28:15Z,2026-06-15T15:41:27Z,rel_2_0_51,2765,0,7.0,True,True,True,False,False,True,False,62.01,1.46,21.46,62.01
airflow,apache,45901,17279,45901,1704,,100,main,Apache-2.0,Python,"airflow,apache,apache-airflow,python,scheduler,workflow,automation,dag,data-engineering,data-integration,data-orchestrator,data-pipelines,data-science,elt,etl,machine-learning,mlops,orchestration,workflow-engine,workflow-orchestration",2015-04-13T18:04:58Z,2026-06-23T12:08:00Z,2026-06-23T10:36:56Z,2026-06-13T23:37:21Z,helm-chart/1.22.0,4088,0,9.0,True,True,True,True,True,False,True,81.1,2.32,3.07,86.85
